Time,Charge-Enable Output Active,Discharge-Enable Output Active,Pack Amperage (Current),Pack Voltage,Pack State of Charge (SOC)
Mon May 19 19:12:27 PDT 2025,1.000000,1.000000,-31.200000,89.900000,10.000000
Mon May 19 19:12:27 PDT 2025,1.000000,1.000000,-31.700000,89.900000,10.000000
Mon May 19 19:12:27 PDT 2025,1.000000,1.000000,-31.300000,89.900000,10.000000
Mon May 19 19:12:27 PDT 2025,1.000000,1.000000,-31.500000,89.900000,10.000000
Mon May 19 19:12:27 PDT 2025,1.000000,1.000000,-30.700000,89.900000,10.000000
Mon May 19 19:12:27 PDT 2025,1.000000,1.000000,-31.500000,89.900000,10.000000
Mon May 19 19:12:27 PDT 2025,1.000000,1.000000,-30.700000,89.900000,10.000000
Mon May 19 19:12:27 PDT 2025,1.000000,1.000000,-31.300000,89.900000,10.000000
Mon May 19 19:12:27 PDT 2025,1.000000,1.000000,-31.800000,89.900000,10.000000
Mon May 19 19:12:28 PDT 2025,1.000000,1.000000,-31.400000,90.000000,10.000000
Mon May 19 19:12:28 PDT 2025,1.000000,1.000000,-30.600000,89.900000,10.000000
Mon May 19 19:12:28 PDT 2025,1.000000,1.000000,-31.500000,89.900000,10.000000
Mon May 19 19:12:28 PDT 2025,1.000000,1.000000,-31.700000,89.900000,10.000000
Mon May 19 19:12:28 PDT 2025,1.000000,1.000000,-30.600000,89.900000,10.000000
Mon May 19 19:12:28 PDT 2025,1.000000,1.000000,-31.600000,89.900000,10.000000
Mon May 19 19:12:28 PDT 2025,1.000000,1.000000,-31.700000,90.000000,10.000000
Mon May 19 19:12:28 PDT 2025,1.000000,1.000000,-31.800000,89.900000,10.000000
Mon May 19 19:12:28 PDT 2025,1.000000,1.000000,-30.600000,89.900000,10.000000
Mon May 19 19:12:28 PDT 2025,1.000000,1.000000,-31.300000,89.900000,10.000000
Mon May 19 19:12:29 PDT 2025,1.000000,1.000000,-32.000000,90.000000,10.000000
Mon May 19 19:12:29 PDT 2025,1.000000,1.000000,-32.000000,89.900000,10.000000
Mon May 19 19:12:29 PDT 2025,1.000000,1.000000,-30.500000,90.000000,10.000000
Mon May 19 19:12:29 PDT 2025,1.000000,1.000000,-31.000000,89.900000,10.000000
Mon May 19 19:12:29 PDT 2025,1.000000,1.000000,-30.600000,89.900000,10.000000
Mon May 19 19:12:29 PDT 2025,1.000000,1.000000,-31.500000,89.900000,10.000000
Mon May 19 19:12:29 PDT 2025,1.000000,1.000000,-30.700000,90.000000,10.000000
Mon May 19 19:12:29 PDT 2025,1.000000,1.000000,-31.800000,89.900000,10.000000
Mon May 19 19:12:29 PDT 2025,1.000000,1.000000,-30.900000,90.000000,10.000000
Mon May 19 19:12:29 PDT 2025,1.000000,1.000000,-32.100000,89.900000,10.000000
Mon May 19 19:12:30 PDT 2025,1.000000,1.000000,-30.400000,89.900000,10.000000
Mon May 19 19:12:30 PDT 2025,1.000000,1.000000,-32.000000,89.900000,10.000000
Mon May 19 19:12:30 PDT 2025,1.000000,1.000000,-30.700000,89.900000,10.000000
Mon May 19 19:12:30 PDT 2025,1.000000,1.000000,-32.100000,89.900000,10.000000
Mon May 19 19:12:30 PDT 2025,1.000000,1.000000,-31.100000,90.000000,10.000000
Mon May 19 19:12:30 PDT 2025,1.000000,1.000000,-32.000000,90.000000,10.000000
Mon May 19 19:12:30 PDT 2025,1.000000,1.000000,-30.600000,90.000000,10.000000
Mon May 19 19:12:30 PDT 2025,1.000000,1.000000,-32.000000,90.000000,10.000000
Mon May 19 19:12:30 PDT 2025,1.000000,1.000000,-30.700000,90.000000,10.000000
Mon May 19 19:12:30 PDT 2025,1.000000,1.000000,-31.200000,89.900000,10.000000
Mon May 19 19:12:31 PDT 2025,1.000000,1.000000,-30.700000,89.900000,10.000000
Mon May 19 19:12:31 PDT 2025,1.000000,1.000000,-31.900000,89.900000,10.000000
Mon May 19 19:12:31 PDT 2025,1.000000,1.000000,-31.200000,90.000000,10.000000
Mon May 19 19:12:31 PDT 2025,1.000000,1.000000,-32.000000,89.900000,10.000000
Mon May 19 19:12:31 PDT 2025,1.000000,1.000000,-30.600000,89.900000,10.000000
Mon May 19 19:12:31 PDT 2025,1.000000,1.000000,-31.700000,89.900000,10.000000
Mon May 19 19:12:31 PDT 2025,1.000000,1.000000,-30.500000,89.900000,10.000000
Mon May 19 19:12:31 PDT 2025,1.000000,1.000000,-31.800000,89.900000,10.000000
Mon May 19 19:12:31 PDT 2025,1.000000,1.000000,-30.800000,89.900000,10.000000
Mon May 19 19:12:31 PDT 2025,1.000000,1.000000,-32.000000,89.900000,10.000000
Mon May 19 19:12:32 PDT 2025,1.000000,1.000000,-30.900000,90.000000,10.000000
Mon May 19 19:12:32 PDT 2025,1.000000,1.000000,-32.000000,90.000000,10.000000
Mon May 19 19:12:32 PDT 2025,1.000000,1.000000,-30.900000,89.900000,10.000000
Mon May 19 19:12:32 PDT 2025,1.000000,1.000000,-31.700000,90.000000,10.000000
Mon May 19 19:12:32 PDT 2025,1.000000,1.000000,-30.900000,90.000000,10.000000
Mon May 19 19:12:32 PDT 2025,1.000000,1.000000,-31.800000,90.000000,10.000000
Mon May 19 19:12:32 PDT 2025,1.000000,1.000000,-30.700000,90.000000,10.000000
Mon May 19 19:12:32 PDT 2025,1.000000,1.000000,-31.200000,90.000000,10.000000
Mon May 19 19:12:32 PDT 2025,1.000000,1.000000,-31.600000,89.900000,10.000000
Mon May 19 19:12:33 PDT 2025,1.000000,1.000000,-31.900000,90.000000,10.000000
Mon May 19 19:12:33 PDT 2025,1.000000,1.000000,-31.300000,89.900000,10.000000
Mon May 19 19:12:33 PDT 2025,1.000000,1.000000,-32.000000,90.000000,10.000000
Mon May 19 19:12:33 PDT 2025,1.000000,1.000000,-31.000000,89.900000,10.000000
Mon May 19 19:12:33 PDT 2025,1.000000,1.000000,-31.500000,90.000000,10.000000
Mon May 19 19:12:33 PDT 2025,1.000000,1.000000,-30.800000,89.900000,10.000000
Mon May 19 19:12:33 PDT 2025,1.000000,1.000000,-31.400000,90.000000,10.000000
Mon May 19 19:12:33 PDT 2025,1.000000,1.000000,-30.800000,89.900000,10.000000
Mon May 19 19:12:33 PDT 2025,1.000000,1.000000,-30.900000,90.000000,10.000000
Mon May 19 19:12:33 PDT 2025,1.000000,1.000000,-31.100000,89.900000,10.000000
Mon May 19 19:12:34 PDT 2025,1.000000,1.000000,-30.800000,90.000000,10.000000
Mon May 19 19:12:34 PDT 2025,1.000000,1.000000,-31.400000,89.900000,10.000000
Mon May 19 19:12:34 PDT 2025,1.000000,1.000000,-30.900000,90.000000,10.000000
Mon May 19 19:12:34 PDT 2025,1.000000,1.000000,-31.200000,89.900000,10.000000
Mon May 19 19:12:34 PDT 2025,1.000000,1.000000,-31.500000,90.000000,10.000000
Mon May 19 19:12:34 PDT 2025,1.000000,1.000000,-32.000000,90.000000,10.000000
Mon May 19 19:12:34 PDT 2025,1.000000,1.000000,-30.700000,90.000000,10.000000
Mon May 19 19:12:34 PDT 2025,1.000000,1.000000,-31.700000,90.000000,10.000000
Mon May 19 19:12:34 PDT 2025,1.000000,1.000000,-30.700000,90.000000,10.000000
Mon May 19 19:12:34 PDT 2025,1.000000,1.000000,-31.800000,89.900000,10.000000
Mon May 19 19:12:35 PDT 2025,1.000000,1.000000,-30.600000,90.000000,10.000000
Mon May 19 19:12:35 PDT 2025,1.000000,1.000000,-32.100000,90.000000,10.000000
Mon May 19 19:12:35 PDT 2025,1.000000,1.000000,-30.900000,90.000000,10.000000
Mon May 19 19:12:35 PDT 2025,1.000000,1.000000,-31.800000,90.000000,10.000000
Mon May 19 19:12:35 PDT 2025,1.000000,1.000000,-30.700000,90.000000,10.000000
Mon May 19 19:12:35 PDT 2025,1.000000,1.000000,-31.900000,90.000000,10.000000
Mon May 19 19:12:35 PDT 2025,1.000000,1.000000,-30.700000,90.000000,10.000000
Mon May 19 19:12:35 PDT 2025,1.000000,1.000000,-31.800000,90.000000,10.000000
Mon May 19 19:12:35 PDT 2025,1.000000,1.000000,-31.100000,90.000000,10.000000
Mon May 19 19:12:35 PDT 2025,1.000000,1.000000,-32.100000,90.000000,10.000000
Mon May 19 19:12:36 PDT 2025,1.000000,1.000000,-30.900000,90.000000,10.000000
Mon May 19 19:12:36 PDT 2025,1.000000,1.000000,-31.900000,90.000000,10.000000
Mon May 19 19:12:36 PDT 2025,1.000000,1.000000,-30.900000,90.000000,10.000000
Mon May 19 19:12:36 PDT 2025,1.000000,1.000000,-31.900000,90.000000,10.000000
Mon May 19 19:12:36 PDT 2025,1.000000,1.000000,-30.700000,90.000000,10.000000
Mon May 19 19:12:36 PDT 2025,1.000000,1.000000,-31.900000,90.000000,10.000000
Mon May 19 19:12:36 PDT 2025,1.000000,1.000000,-30.500000,90.000000,10.000000
Mon May 19 19:12:36 PDT 2025,1.000000,1.000000,-32.100000,90.000000,10.000000
Mon May 19 19:12:36 PDT 2025,1.000000,1.000000,-30.600000,90.000000,10.000000
Mon May 19 19:12:36 PDT 2025,1.000000,1.000000,-31.900000,90.000000,10.000000
Mon May 19 19:12:37 PDT 2025,1.000000,1.000000,-31.100000,90.000000,10.000000
Mon May 19 19:12:37 PDT 2025,1.000000,1.000000,-32.000000,90.000000,10.000000
Mon May 19 19:12:37 PDT 2025,1.000000,1.000000,-30.500000,90.000000,10.000000
Mon May 19 19:12:37 PDT 2025,1.000000,1.000000,-32.000000,90.000000,10.000000
Mon May 19 19:12:37 PDT 2025,1.000000,1.000000,-30.600000,90.000000,10.000000
Mon May 19 19:12:37 PDT 2025,1.000000,1.000000,-31.800000,90.000000,10.000000
Mon May 19 19:12:37 PDT 2025,1.000000,1.000000,-30.900000,90.000000,10.000000
Mon May 19 19:12:37 PDT 2025,1.000000,1.000000,-31.400000,90.000000,10.000000
Mon May 19 19:12:37 PDT 2025,1.000000,1.000000,-30.900000,90.000000,10.000000
Mon May 19 19:12:37 PDT 2025,1.000000,1.000000,-31.200000,90.000000,10.000000
Mon May 19 19:12:38 PDT 2025,1.000000,1.000000,-31.100000,90.000000,10.000000
Mon May 19 19:12:38 PDT 2025,1.000000,1.000000,-32.100000,90.000000,10.000000
Mon May 19 19:12:38 PDT 2025,1.000000,1.000000,-31.300000,90.000000,10.000000
Mon May 19 19:12:38 PDT 2025,1.000000,1.000000,-32.000000,90.000000,10.000000
Mon May 19 19:12:38 PDT 2025,1.000000,1.000000,-30.900000,90.000000,10.000000
Mon May 19 19:12:38 PDT 2025,1.000000,1.000000,-30.900000,90.000000,10.000000
Mon May 19 19:12:38 PDT 2025,1.000000,1.000000,-30.900000,90.000000,10.000000
Mon May 19 19:12:38 PDT 2025,1.000000,1.000000,-32.000000,90.000000,10.000000
Mon May 19 19:12:38 PDT 2025,1.000000,1.000000,-30.700000,90.000000,10.000000
Mon May 19 19:12:39 PDT 2025,1.000000,1.000000,-31.100000,90.000000,10.000000
Mon May 19 19:12:39 PDT 2025,1.000000,1.000000,-31.800000,90.000000,10.000000
Mon May 19 19:12:39 PDT 2025,1.000000,1.000000,-31.300000,90.000000,10.000000
Mon May 19 19:12:39 PDT 2025,1.000000,1.000000,-30.700000,90.000000,10.000000
Mon May 19 19:12:39 PDT 2025,1.000000,1.000000,-31.000000,90.000000,10.000000
Mon May 19 19:12:39 PDT 2025,1.000000,1.000000,-31.000000,90.000000,10.000000
Mon May 19 19:12:39 PDT 2025,1.000000,1.000000,-30.800000,90.000000,10.000000
Mon May 19 19:12:39 PDT 2025,1.000000,1.000000,-31.100000,90.000000,10.000000
Mon May 19 19:12:39 PDT 2025,1.000000,1.000000,-32.000000,90.000000,10.000000
Mon May 19 19:12:39 PDT 2025,1.000000,1.000000,-31.400000,90.000000,10.000000
Mon May 19 19:12:40 PDT 2025,1.000000,1.000000,-31.000000,90.000000,10.000000
Mon May 19 19:12:40 PDT 2025,1.000000,1.000000,-30.900000,90.000000,10.000000
Mon May 19 19:12:40 PDT 2025,1.000000,1.000000,-31.400000,90.000000,10.000000
Mon May 19 19:12:40 PDT 2025,1.000000,1.000000,-30.900000,90.000000,10.000000
Mon May 19 19:12:40 PDT 2025,1.000000,1.000000,-30.800000,90.000000,10.000000
Mon May 19 19:12:40 PDT 2025,1.000000,1.000000,-31.200000,90.000000,10.000000
Mon May 19 19:12:40 PDT 2025,1.000000,1.000000,-30.700000,90.000000,10.000000
Mon May 19 19:12:40 PDT 2025,1.000000,1.000000,-31.900000,90.000000,10.000000
Mon May 19 19:12:40 PDT 2025,1.000000,1.000000,-31.400000,90.000000,10.000000
Mon May 19 19:12:40 PDT 2025,1.000000,1.000000,-30.700000,90.000000,10.000000
Mon May 19 19:12:41 PDT 2025,1.000000,1.000000,-30.900000,90.000000,10.000000
Mon May 19 19:12:41 PDT 2025,1.000000,1.000000,-31.200000,90.000000,10.000000
Mon May 19 19:12:41 PDT 2025,1.000000,1.000000,-30.700000,90.000000,10.000000
Mon May 19 19:12:41 PDT 2025,1.000000,1.000000,-31.500000,90.000000,10.000000
Mon May 19 19:12:41 PDT 2025,1.000000,1.000000,-31.300000,90.000000,10.000000
Mon May 19 19:12:41 PDT 2025,1.000000,1.000000,-32.000000,90.000000,10.000000
Mon May 19 19:12:41 PDT 2025,1.000000,1.000000,-31.300000,90.000000,10.000000
Mon May 19 19:12:41 PDT 2025,1.000000,1.000000,-31.800000,90.000000,10.000000
Mon May 19 19:12:41 PDT 2025,1.000000,1.000000,-31.800000,90.000000,10.000000
Mon May 19 19:12:41 PDT 2025,1.000000,1.000000,-31.900000,90.000000,10.000000
Mon May 19 19:12:42 PDT 2025,1.000000,1.000000,-31.400000,90.000000,10.000000
Mon May 19 19:12:42 PDT 2025,1.000000,1.000000,-32.000000,90.000000,10.000000
Mon May 19 19:12:42 PDT 2025,1.000000,1.000000,-30.800000,90.000000,10.000000
Mon May 19 19:12:42 PDT 2025,1.000000,1.000000,-31.600000,90.000000,10.000000
Mon May 19 19:12:42 PDT 2025,1.000000,1.000000,-30.900000,90.000000,10.000000
Mon May 19 19:12:42 PDT 2025,1.000000,1.000000,-31.500000,90.000000,10.000000
Mon May 19 19:12:42 PDT 2025,1.000000,1.000000,-30.900000,90.000000,10.000000
Mon May 19 19:12:42 PDT 2025,1.000000,1.000000,-31.900000,90.000000,10.000000
Mon May 19 19:12:42 PDT 2025,1.000000,1.000000,-30.500000,90.000000,10.000000
Mon May 19 19:12:42 PDT 2025,1.000000,1.000000,-31.900000,90.000000,10.000000
Mon May 19 19:12:43 PDT 2025,1.000000,1.000000,-30.600000,90.000000,10.000000
Mon May 19 19:12:43 PDT 2025,1.000000,1.000000,-31.900000,90.000000,10.000000
Mon May 19 19:12:43 PDT 2025,1.000000,1.000000,-30.800000,90.000000,10.000000
Mon May 19 19:12:43 PDT 2025,1.000000,1.000000,-32.000000,90.000000,10.000000
Mon May 19 19:12:43 PDT 2025,1.000000,1.000000,-31.000000,90.000000,10.000000
Mon May 19 19:12:43 PDT 2025,1.000000,1.000000,-31.700000,90.000000,10.000000
Mon May 19 19:12:43 PDT 2025,1.000000,1.000000,-30.500000,90.000000,10.000000
Mon May 19 19:12:43 PDT 2025,1.000000,1.000000,-31.900000,90.000000,10.000000
Mon May 19 19:12:43 PDT 2025,1.000000,1.000000,-30.700000,90.000000,10.000000
Mon May 19 19:12:43 PDT 2025,1.000000,1.000000,-31.900000,90.000000,10.000000
Mon May 19 19:12:44 PDT 2025,1.000000,1.000000,-30.700000,90.000000,10.000000
Mon May 19 19:12:44 PDT 2025,1.000000,1.000000,-31.700000,90.000000,10.000000
Mon May 19 19:12:44 PDT 2025,1.000000,1.000000,-30.500000,90.000000,10.000000
Mon May 19 19:12:44 PDT 2025,1.000000,1.000000,-31.500000,90.000000,10.000000
Mon May 19 19:12:44 PDT 2025,1.000000,1.000000,-30.900000,90.000000,10.500000
Mon May 19 19:12:44 PDT 2025,1.000000,1.000000,-31.900000,90.000000,10.500000
Mon May 19 19:12:44 PDT 2025,1.000000,1.000000,-31.100000,90.000000,10.500000
Mon May 19 19:12:44 PDT 2025,1.000000,1.000000,-32.000000,90.000000,10.500000
Mon May 19 19:12:44 PDT 2025,1.000000,1.000000,-30.900000,90.000000,10.500000
Mon May 19 19:12:44 PDT 2025,1.000000,1.000000,-31.900000,90.000000,10.500000
