Time,Time Since Power-On,Charge-Enable Output Active,Discharge-Enable Output Active,Pack Amperage (Current),Pack Voltage,Pack State of Charge (SOC)
Wed May 21 17:29:34 PDT 2025,3744.000000,1.000000,0.000000,0.000000,87.800000,3.500000
Wed May 21 17:29:34 PDT 2025,3744.000000,1.000000,0.000000,0.000000,87.800000,3.500000
Wed May 21 17:29:34 PDT 2025,3744.000000,1.000000,0.000000,0.000000,87.800000,3.500000
Wed May 21 17:29:34 PDT 2025,3744.000000,1.000000,0.000000,0.000000,87.800000,3.500000
Wed May 21 17:29:34 PDT 2025,3744.000000,1.000000,0.000000,0.000000,87.800000,3.500000
Wed May 21 17:29:34 PDT 2025,3744.000000,1.000000,0.000000,0.000000,87.800000,3.500000
Wed May 21 17:29:34 PDT 2025,3744.000000,1.000000,0.000000,0.000000,87.800000,3.500000
Wed May 21 17:29:34 PDT 2025,3744.000000,1.000000,0.000000,0.000000,87.800000,3.500000
Wed May 21 17:29:34 PDT 2025,3744.000000,1.000000,0.000000,0.000000,87.800000,3.500000
Wed May 21 17:29:34 PDT 2025,3744.000000,1.000000,0.000000,0.000000,87.800000,3.500000
Wed May 21 17:29:35 PDT 2025,3745.000000,1.000000,0.000000,0.000000,87.800000,3.500000
Wed May 21 17:29:35 PDT 2025,3745.000000,1.000000,0.000000,0.000000,87.800000,3.500000
Wed May 21 17:29:35 PDT 2025,3745.000000,1.000000,0.000000,0.000000,87.800000,3.500000
Wed May 21 17:29:35 PDT 2025,3745.000000,1.000000,0.000000,0.000000,87.800000,3.500000
Wed May 21 17:29:35 PDT 2025,3745.000000,1.000000,0.000000,0.000000,87.800000,3.500000
Wed May 21 17:29:35 PDT 2025,3745.000000,1.000000,0.000000,0.000000,87.800000,3.500000
Wed May 21 17:29:35 PDT 2025,3745.000000,1.000000,0.000000,0.000000,87.800000,3.500000
Wed May 21 17:29:35 PDT 2025,3745.000000,1.000000,0.000000,0.000000,87.800000,3.500000
