Time,Time Since Power-On,Charge-Enable Output Active,Discharge-Enable Output Active,DCL Reduced Due To SOC,CCL Reduced Due To SOC,Pack Amperage (Current),Pack Voltage,Pack State of Charge (SOC),CANBUS 1 Flags,CANBUS 1 Errors Present,Average battery temperature
Wed May 21 21:48:10 PDT 2025,8036.000000,0.000000,0.000000,0.000000,0.000000,0.000000,52.100000,80.000000,1.000000,0.000000,35.000000
Wed May 21 21:48:15 PDT 2025,8041.000000,0.000000,0.000000,0.000000,0.000000,0.000000,52.100000,80.000000,1.000000,0.000000,35.000000
Wed May 21 21:48:21 PDT 2025,8046.000000,0.000000,0.000000,0.000000,0.000000,0.000000,52.100000,80.000000,1.000000,0.000000,35.000000
Wed May 21 21:48:26 PDT 2025,8051.000000,0.000000,0.000000,0.000000,0.000000,0.000000,52.100000,80.000000,1.000000,0.000000,35.000000
Wed May 21 21:48:31 PDT 2025,8056.000000,0.000000,0.000000,0.000000,0.000000,0.000000,52.100000,80.000000,1.000000,0.000000,35.000000
Wed May 21 21:48:36 PDT 2025,8062.000000,0.000000,0.000000,0.000000,0.000000,0.000000,52.100000,80.000000,1.000000,0.000000,35.000000
Wed May 21 21:48:41 PDT 2025,8067.000000,0.000000,0.000000,0.000000,0.000000,0.000000,52.100000,80.000000,1.000000,0.000000,35.000000
Wed May 21 21:48:46 PDT 2025,8072.000000,0.000000,0.000000,0.000000,0.000000,0.000000,52.100000,80.000000,1.000000,0.000000,35.000000
Wed May 21 21:48:51 PDT 2025,8077.000000,0.000000,0.000000,0.000000,0.000000,0.000000,52.100000,80.000000,1.000000,0.000000,35.000000
Wed May 21 21:48:56 PDT 2025,8082.000000,0.000000,0.000000,0.000000,0.000000,0.000000,52.100000,80.000000,1.000000,0.000000,35.000000
Wed May 21 21:49:01 PDT 2025,8087.000000,0.000000,0.000000,0.000000,0.000000,0.000000,52.100000,80.000000,1.000000,0.000000,35.000000
Wed May 21 21:49:07 PDT 2025,8092.000000,0.000000,0.000000,0.000000,0.000000,0.000000,52.100000,80.000000,1.000000,0.000000,35.000000
Wed May 21 21:49:12 PDT 2025,8097.000000,0.000000,0.000000,0.000000,0.000000,0.000000,52.100000,80.000000,1.000000,0.000000,35.000000
Wed May 21 21:49:17 PDT 2025,8102.000000,0.000000,0.000000,0.000000,0.000000,0.000000,52.100000,80.000000,1.000000,0.000000,35.000000
Wed May 21 21:49:22 PDT 2025,8108.000000,0.000000,0.000000,0.000000,0.000000,0.000000,52.100000,80.000000,1.000000,0.000000,35.000000
Wed May 21 21:49:27 PDT 2025,8113.000000,0.000000,0.000000,0.000000,0.000000,0.000000,52.100000,80.000000,1.000000,0.000000,35.000000
Wed May 21 21:49:32 PDT 2025,8118.000000,0.000000,0.000000,0.000000,0.000000,0.000000,52.100000,80.000000,1.000000,0.000000,35.000000
Wed May 21 21:49:37 PDT 2025,8123.000000,0.000000,0.000000,0.000000,0.000000,0.000000,52.100000,80.000000,1.000000,0.000000,35.000000
Wed May 21 21:49:42 PDT 2025,8128.000000,0.000000,0.000000,0.000000,0.000000,0.000000,52.100000,80.000000,1.000000,0.000000,35.000000
Wed May 21 21:49:47 PDT 2025,8133.000000,0.000000,0.000000,0.000000,0.000000,0.000000,52.100000,80.000000,1.000000,0.000000,35.000000
Wed May 21 21:49:52 PDT 2025,8138.000000,0.000000,0.000000,0.000000,0.000000,0.000000,52.100000,80.000000,1.000000,0.000000,35.000000
Wed May 21 21:49:57 PDT 2025,8143.000000,0.000000,0.000000,0.000000,0.000000,0.000000,52.100000,80.000000,1.000000,0.000000,35.000000
Wed May 21 21:50:03 PDT 2025,8148.000000,0.000000,0.000000,0.000000,0.000000,0.000000,52.100000,80.000000,1.000000,0.000000,35.000000
Wed May 21 21:50:08 PDT 2025,8153.000000,0.000000,0.000000,0.000000,0.000000,0.000000,52.100000,80.000000,1.000000,0.000000,35.000000
Wed May 21 21:50:13 PDT 2025,8159.000000,0.000000,0.000000,0.000000,0.000000,0.000000,52.100000,80.000000,1.000000,0.000000,35.000000
Wed May 21 21:50:18 PDT 2025,8164.000000,0.000000,0.000000,0.000000,0.000000,0.000000,52.100000,80.000000,1.000000,0.000000,35.000000
Wed May 21 21:50:23 PDT 2025,8169.000000,0.000000,0.000000,0.000000,0.000000,0.000000,52.100000,80.000000,1.000000,0.000000,35.000000
Wed May 21 21:50:28 PDT 2025,8174.000000,0.000000,0.000000,0.000000,0.000000,0.000000,52.100000,80.000000,1.000000,0.000000,35.000000
Wed May 21 21:50:33 PDT 2025,8179.000000,0.000000,0.000000,0.000000,0.000000,0.000000,52.100000,80.000000,1.000000,0.000000,35.000000
Wed May 21 21:50:38 PDT 2025,8184.000000,0.000000,0.000000,0.000000,0.000000,0.000000,52.100000,80.000000,1.000000,0.000000,35.000000
Wed May 21 21:50:43 PDT 2025,8189.000000,0.000000,0.000000,0.000000,0.000000,0.000000,52.100000,80.000000,1.000000,0.000000,35.000000
Wed May 21 21:50:48 PDT 2025,8194.000000,0.000000,0.000000,0.000000,0.000000,0.000000,52.100000,80.000000,1.000000,0.000000,35.000000
Wed May 21 21:50:53 PDT 2025,8199.000000,0.000000,0.000000,0.000000,0.000000,0.000000,52.100000,80.000000,1.000000,0.000000,35.000000
Wed May 21 21:50:59 PDT 2025,8204.000000,0.000000,0.000000,0.000000,0.000000,0.000000,52.100000,80.000000,1.000000,0.000000,35.000000
Wed May 21 21:51:04 PDT 2025,8210.000000,0.000000,0.000000,0.000000,0.000000,0.000000,52.100000,80.000000,1.000000,0.000000,35.000000
Wed May 21 21:51:09 PDT 2025,8215.000000,0.000000,0.000000,0.000000,0.000000,0.000000,52.100000,80.000000,1.000000,0.000000,35.000000
Wed May 21 21:51:14 PDT 2025,8220.000000,0.000000,0.000000,0.000000,0.000000,0.000000,52.100000,80.000000,1.000000,0.000000,35.000000
Wed May 21 21:51:19 PDT 2025,8225.000000,0.000000,0.000000,0.000000,0.000000,0.000000,52.100000,80.000000,1.000000,0.000000,35.000000
Wed May 21 21:51:24 PDT 2025,8230.000000,0.000000,0.000000,0.000000,0.000000,0.000000,52.100000,80.000000,1.000000,0.000000,35.000000
Wed May 21 21:51:29 PDT 2025,8235.000000,0.000000,0.000000,0.000000,0.000000,0.000000,52.100000,80.000000,1.000000,0.000000,35.000000
Wed May 21 21:51:34 PDT 2025,8240.000000,0.000000,0.000000,0.000000,0.000000,0.000000,52.100000,80.000000,1.000000,0.000000,35.000000
Wed May 21 21:51:39 PDT 2025,8245.000000,0.000000,0.000000,0.000000,0.000000,0.000000,52.100000,80.000000,1.000000,0.000000,35.000000
