Time,Time Since Power-On,Errors Present,Charge-Enable Output Active,Discharge-Enable Output Active,DCL Reduced Due To SOC,CCL Reduced Due To SOC,CCL Zero Because Charge Complete,Pack Amperage (Current),Pack Voltage,Pack State of Charge (SOC),CANBUS 1 Flags,CANBUS 1 Errors Present,Average battery temperature
Wed May 21 22:09:05 PDT 2025,508.000000,0.000000,1.000000,1.000000,0.000000,0.000000,0.000000,0.000000,52.100000,80.000000,1.000000,0.000000,33.000000
Wed May 21 22:09:10 PDT 2025,513.000000,0.000000,1.000000,1.000000,0.000000,0.000000,0.000000,0.000000,52.100000,80.000000,1.000000,0.000000,33.000000
Wed May 21 22:09:16 PDT 2025,519.000000,0.000000,1.000000,1.000000,0.000000,0.000000,0.000000,0.000000,52.100000,80.000000,1.000000,0.000000,33.000000
Wed May 21 22:09:21 PDT 2025,524.000000,0.000000,1.000000,1.000000,0.000000,0.000000,0.000000,0.000000,52.100000,80.000000,1.000000,0.000000,33.000000
Wed May 21 22:09:26 PDT 2025,529.000000,0.000000,1.000000,1.000000,0.000000,0.000000,0.000000,0.000000,52.100000,80.000000,1.000000,0.000000,33.000000
Wed May 21 22:09:31 PDT 2025,534.000000,0.000000,1.000000,1.000000,0.000000,0.000000,0.000000,0.000000,52.100000,80.000000,1.000000,0.000000,33.000000
Wed May 21 22:09:36 PDT 2025,539.000000,0.000000,1.000000,1.000000,0.000000,0.000000,0.000000,0.000000,52.100000,80.000000,1.000000,0.000000,33.000000
Wed May 21 22:09:41 PDT 2025,544.000000,0.000000,1.000000,1.000000,0.000000,0.000000,0.000000,0.000000,52.100000,80.000000,1.000000,0.000000,34.000000
Wed May 21 22:09:46 PDT 2025,549.000000,0.000000,1.000000,1.000000,0.000000,0.000000,0.000000,0.000000,52.100000,80.000000,1.000000,0.000000,34.000000
Wed May 21 22:09:51 PDT 2025,554.000000,0.000000,1.000000,1.000000,0.000000,0.000000,0.000000,0.000000,52.100000,80.000000,1.000000,0.000000,33.000000
Wed May 21 22:09:56 PDT 2025,559.000000,0.000000,1.000000,1.000000,0.000000,0.000000,0.000000,0.000000,52.100000,80.000000,1.000000,0.000000,33.000000
Wed May 21 22:10:01 PDT 2025,564.000000,0.000000,1.000000,1.000000,0.000000,0.000000,0.000000,0.000000,52.100000,80.000000,1.000000,0.000000,33.000000
Wed May 21 22:10:07 PDT 2025,570.000000,0.000000,1.000000,1.000000,0.000000,0.000000,0.000000,0.000000,52.100000,80.000000,1.000000,0.000000,33.000000
Wed May 21 22:10:12 PDT 2025,575.000000,0.000000,1.000000,1.000000,0.000000,0.000000,0.000000,0.000000,52.100000,80.000000,1.000000,0.000000,33.000000
Wed May 21 22:10:17 PDT 2025,580.000000,0.000000,1.000000,1.000000,0.000000,0.000000,0.000000,0.000000,52.100000,80.000000,1.000000,0.000000,33.000000
Wed May 21 22:10:22 PDT 2025,585.000000,0.000000,1.000000,1.000000,0.000000,0.000000,0.000000,0.000000,52.100000,80.000000,1.000000,0.000000,33.000000
Wed May 21 22:10:27 PDT 2025,590.000000,0.000000,1.000000,1.000000,0.000000,0.000000,0.000000,0.000000,52.100000,80.000000,1.000000,0.000000,33.000000
Wed May 21 22:10:32 PDT 2025,595.000000,0.000000,1.000000,1.000000,0.000000,0.000000,0.000000,0.000000,52.100000,80.000000,1.000000,0.000000,33.000000
Wed May 21 22:10:37 PDT 2025,600.000000,0.000000,1.000000,1.000000,0.000000,0.000000,0.000000,0.000000,52.100000,80.000000,1.000000,0.000000,33.000000
Wed May 21 22:10:42 PDT 2025,605.000000,0.000000,1.000000,1.000000,0.000000,0.000000,0.000000,0.000000,52.100000,80.000000,1.000000,0.000000,33.000000
Wed May 21 22:10:47 PDT 2025,610.000000,0.000000,1.000000,1.000000,0.000000,0.000000,0.000000,0.000000,52.100000,80.000000,1.000000,0.000000,33.000000
Wed May 21 22:10:52 PDT 2025,615.000000,0.000000,1.000000,1.000000,0.000000,0.000000,0.000000,0.000000,52.100000,80.000000,1.000000,0.000000,33.000000
Wed May 21 22:10:58 PDT 2025,621.000000,0.000000,1.000000,1.000000,0.000000,0.000000,0.000000,0.000000,52.100000,80.000000,1.000000,0.000000,33.000000
Wed May 21 22:11:03 PDT 2025,626.000000,0.000000,1.000000,1.000000,0.000000,0.000000,0.000000,0.000000,52.100000,80.000000,1.000000,0.000000,33.000000
Wed May 21 22:11:08 PDT 2025,631.000000,0.000000,1.000000,1.000000,0.000000,0.000000,0.000000,0.000000,52.100000,80.000000,1.000000,0.000000,33.000000
