Time,Charge-Enable Output Active,Discharge-Enable Output Active,DCL Reduced Due To SOC,CCL Reduced Due To SOC,CCL Zero Because Charge Complete,Pack Amperage (Current),Pack Voltage,Summed Pack Voltage,Pack State of Charge (SOC),Highest Temperature ID,CANBUS 1 Flags,CANBUS 1 Errors Present,Highest battery temperature,Lowest battery temperature,Average battery temperature,Lowest Cell Voltage,Highest Cell Voltage,Average Cell Voltage,Lowest Cell Resistance,Highest Cell Resistance,Average Cell Resistance,Inst. Cell 1,Inst. Cell 2,Inst. Cell 3,Inst. Cell 4,Inst. Cell 5,Inst. Cell 6,Inst. Cell 7,Inst. Cell 8,Inst. Cell 9,Inst. Cell 10,Inst. Cell 11,Inst. Cell 12,Inst. Cell 13,Inst. Cell 14,Inst. Cell 15,Inst. Cell 16,Inst. Cell 17,Inst. Cell 18,Inst. Cell 19,Inst. Cell 20,Inst. Cell 21,Inst. Cell 22,Inst. Cell 23,Inst. Cell 24,Inst. Cell 25,Inst. Cell 26,Inst. Cell 27,Inst. Cell 28,Inst. Cell 29,Inst. Cell 30,Inst. Cell 31,Inst. Cell 32,Inst. Cell 33,Inst. Cell 34,Inst. Cell 35,Inst. Cell 36
Sun May 25 17:43:03 PDT 2025,1.000000,1.000000,0.000000,0.000000,0.000000,-41.500000,44.100000,44.140000,59.500000,7.000000,1.000000,0.000000,27.000000,24.000000,25.000000,3.526000,3.539000,3.533000,1.100000,1.100000,1.100000,3.530000,3.532000,3.534000,3.536000,3.537000,3.528000,3.533000,3.531000,3.534000,3.531000,3.531000,3.536000,3.531000,3.531000,3.534000,3.528000,3.533000,3.531000,3.533000,0.000000,0.000000,0.000000,0.000000,0.000000,3.527000,3.534000,3.530000,3.526000,3.528000,3.537000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
Sun May 25 17:43:13 PDT 2025,1.000000,1.000000,0.000000,0.000000,0.000000,-41.700000,44.100000,44.180000,61.500000,1.000000,1.000000,0.000000,27.000000,24.000000,26.000000,3.527000,3.540000,3.534000,1.100000,1.100000,1.100000,3.534000,3.536000,3.538000,3.540000,3.541000,3.532000,3.537000,3.534000,3.538000,3.535000,3.535000,3.540000,3.535000,3.534000,3.538000,3.531000,3.537000,3.534000,3.537000,0.000000,0.000000,0.000000,0.000000,0.000000,3.529000,3.536000,3.532000,3.528000,3.530000,3.539000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
Sun May 25 17:43:23 PDT 2025,1.000000,1.000000,0.000000,0.000000,0.000000,-42.100000,44.200000,44.210000,63.000000,1.000000,1.000000,0.000000,27.000000,24.000000,26.000000,3.530000,3.543000,3.537000,1.100000,1.100000,1.100000,3.536000,3.538000,3.540000,3.542000,3.543000,3.534000,3.538000,3.536000,3.540000,3.537000,3.537000,3.542000,3.536000,3.535000,3.539000,3.533000,3.539000,3.536000,3.538000,0.000000,0.000000,0.000000,0.000000,0.000000,3.531000,3.537000,3.533000,3.529000,3.531000,3.540000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
Sun May 25 17:43:34 PDT 2025,1.000000,1.000000,0.000000,0.000000,0.000000,-41.800000,44.200000,44.230000,64.000000,1.000000,1.000000,0.000000,27.000000,24.000000,26.000000,3.533000,3.546000,3.540000,1.100000,1.100000,1.100000,3.538000,3.540000,3.542000,3.544000,3.545000,3.536000,3.541000,3.539000,3.542000,3.539000,3.539000,3.544000,3.539000,3.538000,3.542000,3.536000,3.541000,3.539000,3.541000,0.000000,0.000000,0.000000,0.000000,0.000000,3.533000,3.540000,3.536000,3.532000,3.534000,3.543000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
Sun May 25 17:43:44 PDT 2025,1.000000,1.000000,0.000000,0.000000,0.000000,-42.100000,44.200000,44.260000,64.500000,1.000000,1.000000,0.000000,27.000000,24.000000,26.000000,3.534000,3.547000,3.541000,1.100000,1.100000,1.100000,3.541000,3.542000,3.544000,3.546000,3.547000,3.538000,3.543000,3.541000,3.544000,3.541000,3.541000,3.546000,3.541000,3.540000,3.544000,3.538000,3.544000,3.540000,3.543000,0.000000,0.000000,0.000000,0.000000,0.000000,3.535000,3.542000,3.538000,3.534000,3.537000,3.545000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
Sun May 25 17:43:54 PDT 2025,1.000000,1.000000,0.000000,0.000000,0.000000,-42.000000,44.200000,44.290000,65.000000,1.000000,1.000000,0.000000,27.000000,24.000000,26.000000,3.537000,3.550000,3.544000,1.100000,1.100000,1.100000,3.542000,3.544000,3.547000,3.548000,3.550000,3.541000,3.545000,3.543000,3.546000,3.544000,3.544000,3.549000,3.543000,3.542000,3.546000,3.539000,3.545000,3.542000,3.545000,0.000000,0.000000,0.000000,0.000000,0.000000,3.537000,3.544000,3.540000,3.536000,3.538000,3.548000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
Sun May 25 17:44:04 PDT 2025,1.000000,1.000000,0.000000,0.000000,0.000000,-42.200000,44.300000,44.310000,66.000000,1.000000,1.000000,0.000000,27.000000,24.000000,26.000000,3.539000,3.552000,3.546000,1.100000,1.100000,1.100000,3.544000,3.546000,3.548000,3.549000,3.551000,3.542000,3.546000,3.544000,3.548000,3.545000,3.545000,3.550000,3.545000,3.544000,3.548000,3.541000,3.547000,3.544000,3.547000,0.000000,0.000000,0.000000,0.000000,0.000000,3.540000,3.547000,3.542000,3.538000,3.540000,3.549000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
Sun May 25 17:44:14 PDT 2025,1.000000,1.000000,0.000000,0.000000,0.000000,-41.900000,44.300000,44.350000,66.000000,7.000000,1.000000,0.000000,28.000000,24.000000,26.000000,3.542000,3.555000,3.548000,1.100000,1.100000,1.100000,3.546000,3.548000,3.550000,3.552000,3.553000,3.544000,3.549000,3.546000,3.550000,3.547000,3.547000,3.552000,3.547000,3.546000,3.550000,3.544000,3.549000,3.546000,3.549000,0.000000,0.000000,0.000000,0.000000,0.000000,3.543000,3.549000,3.545000,3.541000,3.543000,3.552000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
Sun May 25 17:44:24 PDT 2025,1.000000,1.000000,0.000000,0.000000,0.000000,-41.700000,44.300000,44.370000,66.500000,5.000000,1.000000,0.000000,28.000000,24.000000,26.000000,3.544000,3.557000,3.551000,1.100000,1.100000,1.100000,3.549000,3.551000,3.553000,3.555000,3.556000,3.547000,3.551000,3.549000,3.552000,3.550000,3.550000,3.555000,3.550000,3.548000,3.553000,3.546000,3.552000,3.549000,3.552000,0.000000,0.000000,0.000000,0.000000,0.000000,3.544000,3.551000,3.547000,3.543000,3.545000,3.554000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
Sun May 25 17:44:34 PDT 2025,1.000000,1.000000,0.000000,0.000000,0.000000,-41.600000,44.400000,44.400000,66.500000,1.000000,1.000000,0.000000,28.000000,24.000000,26.000000,3.545000,3.558000,3.552000,1.100000,1.100000,1.100000,3.552000,3.554000,3.556000,3.557000,3.559000,3.549000,3.554000,3.552000,3.555000,3.553000,3.552000,3.557000,3.553000,3.552000,3.556000,3.550000,3.555000,3.552000,3.555000,0.000000,0.000000,0.000000,0.000000,0.000000,3.547000,3.554000,3.550000,3.546000,3.548000,3.558000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
